NU_INSCRICAO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,N_PESSOAS_MESMA_RED,INTERNET,MEDIA_CANDIDATO,SCORE_CONSUMO,SCORE_CULT_PAIS,RENDA
190001966303,3,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,7,1,385.72,7,1.0,499
190003952145,2,1,1,3,1,2,0,2,1.0,21,2.0,1.0,1.0,4,1,480.52,8,8.0,499
190002464201,2,1,1,1,1,2,0,2,1.0,11,2.0,1.0,1.0,4,1,490.28,19,8.0,2245
190001699653,1,0,1,1,1,2,0,3,1.0,20,4.0,1.0,1.0,4,1,599.1,27,14.0,8483
190002740371,3,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,3,1,469.32,5,0.0,499
190002648178,4,1,1,1,1,2,0,2,1.0,1,2.0,1.0,1.0,4,1,488.94,17,6.0,2744
190001144409,3,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,6,0,422.34,5,0.0,499
190003108150,3,1,1,3,2,2,0,2,1.0,21,2.0,1.0,1.0,4,0,492.04,10,0.0,499
190001053487,2,1,1,3,1,2,0,2,1.0,8,2.0,1.0,1.0,5,1,574.5600000000001,12,9.0,1247
190004041918,3,0,1,1,1,2,0,3,1.0,2,4.0,1.0,1.0,2,1,682.2,21,8.0,1746
190002434302,2,0,1,3,1,2,0,2,1.0,11,2.0,1.0,1.0,4,1,588.22,16,14.0,2245
190002299966,2,1,1,3,1,2,0,2,1.0,25,2.0,1.0,1.0,5,1,475.74,5,2.0,499
190002470733,3,1,1,1,1,2,0,3,1.0,11,4.0,1.0,1.0,4,1,571.38,37,14.0,10978
190001565617,2,1,1,3,1,2,0,2,1.0,22,2.0,1.0,1.0,3,1,479.66,17,6.0,1247
190002345304,2,1,1,1,1,2,0,3,1.0,2,4.0,1.0,1.0,4,1,633.0,29,14.0,3493
190004835841,3,1,1,3,1,2,0,2,1.0,21,2.0,1.0,1.0,6,0,467.72,5,2.0,499
190002048366,2,1,1,2,1,2,0,2,1.0,6,2.0,1.0,1.0,5,1,574.3,14,4.0,1247
190002429524,2,1,1,3,1,2,0,2,1.0,11,2.0,1.0,1.0,5,0,476.14,13,8.0,3493
190004384751,2,1,1,1,1,2,0,3,1.0,2,4.0,1.0,1.0,3,1,688.5,48,14.0,3493
190003679982,3,1,1,3,1,2,0,2,1.0,2,2.0,1.0,1.0,4,1,556.3399999999999,38,6.0,3493
